Data;Hora;Oficina;ID Participante;Local;Coisa;Nome Participante;Avatar;Interface;Descrição;Objeto
2023-10-05;16:27:49;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: desenho;Fez login e iniciou os cookies com (19yiVE) (evy) e (gato);
2023-10-05;16:27:49;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: desenho;Reconectou - Atualização de página - F5;
2023-10-05;16:27:49;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-10-05;16:45:30;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: camera;Sistema escaneou o QR Code de Código 86;calmo
2023-10-05;16:45:30;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico86;calmo
2023-10-05;16:45:30;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: folha desenho;Participante mostrou qr-code 86;Aquarela_SEM_NOME_2023_10_05_16h_45m_30s_19yiVE_evy.jpg
2023-10-05;16:45:41;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: camera;Sistema escaneou o QR Code de Código 84;triste
2023-10-05;16:45:41;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico84;triste
2023-10-05;16:45:41;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: folha desenho;Participante mostrou qr-code 84;Aquarela_SEM_NOME_2023_10_05_16h_45m_41s_19yiVE_evy.jpg
2023-10-05;16:46:48;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: camera;Sistema escaneou o QR Code de Código 82;feliz
2023-10-05;16:46:48;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico82;feliz
2023-10-05;16:46:48;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: folha desenho;Participante mostrou qr-code 82;Aquarela_SEM_NOME_2023_10_05_16h_46m_48s_19yiVE_evy.jpg
2023-10-05;17:07:00;Aquarela_SEM_NOME;19yiVE;web;;evy;gato;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
