Data;Hora;Oficina;ID Participante;Local;Coisa;Nome Participante;Avatar;Interface;Descrição;Objeto
2023-11-27;16:40:26;Aquarela_SEM_NOME;29ieKG;web;;gio;gato;Interface: desenho;Fez login e iniciou os cookies com (29ieKG) (gio) e (gato);
2023-11-27;16:40:26;Aquarela_SEM_NOME;29ieKG;web;;gio;gato;Interface: desenho;Reconectou - Atualização de página - F5;
2023-11-27;16:40:27;Aquarela_SEM_NOME;29ieKG;web;;gio;gato;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:40:35;Aquarela_SEM_NOME;29ieKG;web;;gio;gato;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-11-27;16:40:40;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: desenho;Fez login e iniciou os cookies com (56vmMZ) (dan) e (macaco);
2023-11-27;16:40:40;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: desenho;Reconectou - Atualização de página - F5;
2023-11-27;16:40:42;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:41:45;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:41:45;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:42:05;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:42:07;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:42:24;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-11-27;16:42:24;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: desenho;Reconectou - Atualização de página - F5;
2023-11-27;16:42:26;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:42:30;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-11-27;16:42:30;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: desenho;Reconectou - Atualização de página - F5;
2023-11-27;16:42:32;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:42:39;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-11-27;16:42:39;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-11-27;16:42:42;Aquarela_SEM_NOME;32vgKE;web;;dan;gato;Interface: desenho;Fez login e iniciou os cookies com (32vgKE) (dan) e (gato);
2023-11-27;16:42:42;Aquarela_SEM_NOME;32vgKE;web;;dan;gato;Interface: desenho;Reconectou - Atualização de página - F5;
2023-11-27;16:42:43;Aquarela_SEM_NOME;32vgKE;web;;dan;gato;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:42:49;Aquarela_SEM_NOME;56vmMZ;web;;dan;macaco;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-11-27;16:42:49;Aquarela_SEM_NOME;32vgKE;web;;dan;gato;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-11-27;16:42:55;Aquarela_SEM_NOME;52xzIN;web;;gio;gato;Interface: desenho;Fez login e iniciou os cookies com (52xzIN) (gio) e (gato);
2023-11-27;16:42:55;Aquarela_SEM_NOME;52xzIN;web;;gio;gato;Interface: desenho;Reconectou - Atualização de página - F5;
2023-11-27;16:42:56;Aquarela_SEM_NOME;52xzIN;web;;gio;gato;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:44:58;Aquarela_SEM_NOME;32vgKE;web;;dan;gato;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-11-27;16:44:58;Aquarela_SEM_NOME;52xzIN;web;;gio;gato;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-11-27;16:45:02;Aquarela_SEM_NOME;93qtTE;web;;gio;gato;Interface: desenho;Fez login e iniciou os cookies com (93qtTE) (gio) e (gato);
2023-11-27;16:45:02;Aquarela_SEM_NOME;93qtTE;web;;gio;gato;Interface: desenho;Reconectou - Atualização de página - F5;
2023-11-27;16:45:04;Aquarela_SEM_NOME;93qtTE;web;;gio;gato;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-11-27;16:45:06;Aquarela_SEM_NOME;93qtTE;web;;gio;gato;Interface: login;Retornou a primeira página para alterar nome ou avatar;
