Data;Hora;Oficina;ID Participante;Local;Coisa;Nome Participante;Avatar;Interface;Descrição;Objeto
2023-09-11;19:41:39;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: desenho;Fez login e iniciou os cookies com (36laJE) (evy) e (coelho);
2023-09-11;19:41:39;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: desenho;Reconectou - Atualização de página - F5;
2023-09-11;19:41:40;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;19:54:46;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;19:57:52;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;19:58:40;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-09-11;19:58:40;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: desenho;Reconectou - Atualização de página - F5;
2023-09-11;19:58:41;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;19:58:51;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: desenho;Reconectou - Atualização de página - F5;
2023-09-11;19:58:51;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-09-11;19:58:53;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:13:36;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:14:27;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:19:19;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:20:51;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:21:22;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:30:50;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-09-11;20:38:02;Aquarela_SEM_NOME;36laJE;web;;evy;coelho;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-09-11;20:38:05;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: desenho;Fez login e iniciou os cookies com (53avTM) (evy) e (panda);
2023-09-11;20:38:05;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: desenho;Reconectou - Atualização de página - F5;
2023-09-11;20:38:06;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:40:35;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:42:37;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:42:55;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-09-11;20:42:55;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: desenho;Reconectou - Atualização de página - F5;
2023-09-11;20:42:57;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:48:12;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-09-11;20:48:12;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: desenho;Reconectou - Atualização de página - F5;
2023-09-11;20:48:14;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-09-11;20:48:36;Aquarela_SEM_NOME;53avTM;web;;evy;panda;Interface: socket.io;saiu da sala ou perdeu conexao;
