Data;Hora;Oficina;ID Participante;Local;Coisa;Nome Participante;Avatar;Interface;Descrição;Objeto
2023-08-24;12:22:31;Aquarela_SEM_NOME;48ydEW;web;;evy;coelho;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-08-24;12:22:34;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: desenho;Fez login e iniciou os cookies com (08eqDB) (evy) e (coelho);
2023-08-24;12:22:34;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: desenho;Reconectou - Atualização de página - F5;
2023-08-24;12:22:35;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;12:22:52;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;12:22:52;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;12:22:52;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_12h_22m_52s_08eqDB_evy.jpg
2023-08-24;12:48:18;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;12:48:18;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;12:48:18;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_12h_48m_18s_08eqDB_evy.jpg
2023-08-24;12:49:00;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;12:49:13;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-08-24;12:49:13;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: desenho;Reconectou - Atualização de página - F5;
2023-08-24;12:49:14;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;12:49:21;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;12:49:21;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;12:49:21;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_12h_49m_21s_08eqDB_evy.jpg
2023-08-24;12:50:59;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;12:50:59;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;12:50:59;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_12h_50m_59s_08eqDB_evy.jpg
2023-08-24;12:53:01;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;12:53:01;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;12:53:01;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_12h_53m_01s_08eqDB_evy.jpg
2023-08-24;14:19:49;Aquarela_SEM_NOME;08eqDB;web;;evy;coelho;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-08-24;14:19:55;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: desenho;Fez login e iniciou os cookies com (96ggQS) (evy) e (coelho);
2023-08-24;14:19:55;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: desenho;Reconectou - Atualização de página - F5;
2023-08-24;14:19:56;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;14:20:20;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;14:20:20;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;14:20:20;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_14h_20m_20s_96ggQS_evy.jpg
2023-08-24;14:21:58;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-08-24;14:21:58;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: desenho;Reconectou - Atualização de página - F5;
2023-08-24;14:22:00;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;14:22:08;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;14:22:08;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;14:22:08;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_14h_22m_08s_96ggQS_evy.jpg
2023-08-24;14:23:06;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: login;Retornou a primeira página para alterar nome ou avatar;
2023-08-24;14:23:44;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: desenho;Fez login e iniciou os cookies com (74vfGU) (dani) e (vaca);
2023-08-24;14:23:44;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: desenho;Reconectou - Atualização de página - F5;
2023-08-24;14:23:46;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;14:23:49;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;14:23:49;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;14:23:49;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_14h_23m_49s_96ggQS_evy.jpg
2023-08-24;14:37:45;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;14:37:45;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;14:37:45;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_14h_37m_45s_96ggQS_evy.jpg
2023-08-24;14:41:42;Aquarela_SEM_NOME;96ggQS;web;;evy;coelho;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-08-24;14:41:42;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: desenho;Reconectou - Atualização de página - F5;
2023-08-24;14:41:43;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;14:41:47;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;14:41:47;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;14:41:47;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_14h_41m_47s_74vfGU_dani.jpg
2023-08-24;14:44:00;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: camera;Sistema escaneou o QR Code de Código 83;raiva
2023-08-24;14:44:00;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico83;raiva
2023-08-24;14:44:00;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: folha desenho;Participante mostrou qr-code 83;Aquarela_SEM_NOME_2023_08_24_14h_44m_00s_74vfGU_dani.jpg
2023-08-24;14:45:24;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: camera;Sistema escaneou o QR Code de Código 83;raiva
2023-08-24;14:45:24;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico83;raiva
2023-08-24;14:45:24;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: camera;Sistema escaneou o QR Code de Código 83;raiva
2023-08-24;14:45:24;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico83;raiva
2023-08-24;14:45:24;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: folha desenho;Participante mostrou qr-code 83;Aquarela_SEM_NOME_2023_08_24_14h_45m_24s_74vfGU_dani.jpg
2023-08-24;14:45:24;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: folha desenho;Participante mostrou qr-code 83;Aquarela_SEM_NOME_2023_08_24_14h_45m_24s_74vfGU_dani.jpg
2023-08-24;14:46:14;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;14:46:14;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;14:46:14;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_14h_46m_14s_74vfGU_dani.jpg
2023-08-24;14:47:55;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;14:47:55;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;14:47:59;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: socket.io;saiu da sala ou perdeu conexao;
2023-08-24;14:47:59;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: desenho;Reconectou - Atualização de página - F5;
2023-08-24;14:48:01;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
2023-08-24;14:48:05;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: camera;Sistema escaneou o QR Code de Código 81;medo
2023-08-24;14:48:05;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico81;medo
2023-08-24;14:48:05;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: folha desenho;Participante mostrou qr-code 81;Aquarela_SEM_NOME_2023_08_24_14h_48m_05s_74vfGU_dani.jpg
2023-08-24;14:48:22;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: camera;Sistema escaneou o QR Code de Código 83;raiva
2023-08-24;14:48:22;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: Sistema;Sistema mostrou emoção e enviou para o Físico83;raiva
2023-08-24;14:48:23;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: folha desenho;Participante mostrou qr-code 83;Aquarela_SEM_NOME_2023_08_24_14h_48m_23s_74vfGU_dani.jpg
2023-08-24;14:52:01;Aquarela_SEM_NOME;74vfGU;web;;dani;vaca;Interface: socket.io;entrou na sala - Registrou participante no socket.io;
